Date,Open,High,Low,Close,Adj Close,Volume,Put Call,Fear Greed,VIX
2011-01-03,126.709999,127.599998,125.699997,127.050003,104.563118,138725200,0.4,68,17.610001
2011-01-04,127.330002,127.370003,126.190002,126.980003,104.505478,137409700,0.43,68,17.379999
2011-01-05,126.580002,127.720001,126.459999,127.639999,105.048676,133975300,0.48,67,17.020000
2011-01-06,127.690002,127.830002,127.010002,127.389999,104.842949,122519000,0.46,64,17.400000
2011-01-07,127.559998,127.769997,126.150002,127.139999,104.637177,156034600,0.5,63,17.139999
2011-01-10,126.580002,127.160004,126.199997,126.980003,104.505478,122401700,0.54,58,17.540001
2011-01-11,127.440002,127.739998,126.949997,127.430000,104.875824,110287000,0.53,58,16.889999
2011-01-12,128.210007,128.720001,127.459999,128.580002,105.822319,107929200,0.45,58,16.240000
2011-01-13,128.630005,128.690002,128.050003,128.369995,105.649452,129048400,0.5,58,16.389999
2011-01-14,128.190002,129.330002,128.100006,129.300003,106.414871,117677900,0.37,60,15.460000
2011-01-18,129.179993,129.639999,129.029999,129.520004,106.595924,114401300,0.44,56,15.870000
2011-01-19,129.410004,129.539993,127.910004,128.250000,105.550713,151958400,0.47,55,17.309999
2011-01-20,127.959999,128.399994,127.129997,128.080002,105.410782,175745700,0.67,54,17.990000
2011-01-21,128.880005,129.169998,128.229996,128.369995,105.649452,151462900,0.55,47,18.469999
2011-01-24,128.289993,129.250000,128.259995,129.100006,106.250267,113715500,0.51,45,17.650000
2011-01-25,128.759995,129.279999,128.110001,129.169998,106.307884,167552200,0.63,43,17.590000
2011-01-26,129.490005,130.050003,129.229996,129.669998,106.719383,141281500,0.58,43,16.639999
2011-01-27,129.699997,130.210007,129.470001,129.990005,106.982742,123302700,0.56,43,16.150000
2011-01-28,130.139999,130.350006,127.510002,127.720001,105.114502,295637300,0.65,43,20.040001
2011-01-31,128.070007,128.779999,127.750000,128.679993,105.904587,149249200,0.61,41,19.530001
2011-02-01,129.460007,130.970001,129.380005,130.740005,107.599976,167194300,0.49,41,17.629999
2011-02-02,130.399994,130.839996,130.330002,130.490005,107.394257,118323600,0.45,46,17.299999
2011-02-03,130.259995,130.979996,129.570007,130.779999,107.632927,145886700,0.58,47,16.690001
2011-02-04,130.830002,131.199997,130.229996,131.149994,107.937431,134634800,0.64,49,15.930000
2011-02-07,131.440002,132.399994,131.429993,131.970001,108.612282,112439100,0.46,56,16.280001
2011-02-08,132.089996,132.639999,131.729996,132.570007,109.106133,99072800,0.52,56,15.810000
2011-02-09,132.210007,132.630005,131.610001,132.270004,108.859207,146436700,0.52,56,15.870000
2011-02-10,131.600006,132.470001,131.300003,132.320007,108.900383,162708500,0.55,56,16.090000
2011-02-11,131.800003,133.279999,131.770004,133.110001,109.550552,137710300,0.51,56,15.690000
2011-02-14,133.029999,133.539993,132.880005,133.429993,109.813889,101690700,0.51,61,15.950000
2011-02-15,133.020004,133.220001,132.320007,133.009995,109.468224,119575400,0.53,61,16.370001
2011-02-16,133.460007,134.009995,133.190002,133.850006,110.159538,130183500,0.58,61,16.719999
2011-02-17,133.460007,134.429993,133.339996,134.250000,110.488770,109810500,0.5,61,16.590000
2011-02-18,134.369995,134.690002,134.059998,134.529999,110.719193,130002400,0.61,56,16.430000
2011-02-22,133.119995,134.559998,131.470001,131.830002,108.497086,233116400,0.68,42,20.799999
2011-02-23,131.750000,132.070007,130.210007,131.020004,107.830452,227584000,0.72,42,22.129999
2011-02-24,130.880005,131.440002,129.699997,130.929993,107.756378,260431400,0.71,42,21.320000
2011-02-25,131.479996,132.410004,131.399994,132.330002,108.908585,141686900,0.49,42,19.219999
2011-02-28,132.820007,133.320007,132.380005,133.149994,109.583443,141585500,0.53,43,18.350000
2011-03-01,133.570007,133.690002,130.889999,130.929993,107.756378,258565500,0.64,43,21.010000
